ap_id,floor,region,coverage_cells,centroid_x,centroid_y,bbox_x_min,bbox_x_max,bbox_y_min,bbox_y_max,spatial_information
1,0,Floor_0_Zone_1,365,110.77,78.12,100,118,68,95,"Centroid: (110.77, 78.12), Box: X[100-118] Y[68-95], Area: 365 cells"
2,0,Floor_0_Zone_2,126,104.85,87.21,100,114,77,94,"Centroid: (104.85, 87.21), Box: X[100-114] Y[77-94], Area: 126 cells"
3,0,Floor_0_Zone_3,250,108.5,99.86,100,118,92,106,"Centroid: (108.50, 99.86), Box: X[100-118] Y[92-106], Area: 250 cells"
4,1,Floor_1_Zone_4,112,103.88,73.52,100,109,68,80,"Centroid: (103.88, 73.52), Box: X[100-109] Y[68-80], Area: 112 cells"
5,1,Floor_1_Zone_5,90,103.62,85.98,100,108,81,91,"Centroid: (103.62, 85.98), Box: X[100-108] Y[81-91], Area: 90 cells"
6,1,Floor_1_Zone_6,148,104.52,99.56,100,111,92,106,"Centroid: (104.52, 99.56), Box: X[100-111] Y[92-106], Area: 148 cells"
7,1,Floor_1_Zone_7,179,113.18,76.37,107,118,68,84,"Centroid: (113.18, 76.37), Box: X[107-118] Y[68-84], Area: 179 cells"
8,1,Floor_1_Zone_8,212,113.58,94.76,107,118,85,106,"Centroid: (113.58, 94.76), Box: X[107-118] Y[85-106], Area: 212 cells"
9,2,Floor_2_Zone_9,122,104.34,73.34,100,111,68,80,"Centroid: (104.34, 73.34), Box: X[100-111] Y[68-80], Area: 122 cells"
10,2,Floor_2_Zone_10,93,103.39,86.55,100,107,81,92,"Centroid: (103.39, 86.55), Box: X[100-107] Y[81-92], Area: 93 cells"
11,2,Floor_2_Zone_11,112,103.5,99.5,100,107,93,106,"Centroid: (103.50, 99.50), Box: X[100-107] Y[93-106], Area: 112 cells"
12,2,Floor_2_Zone_12,154,113.0,99.5,108,118,93,106,"Centroid: (113.00, 99.50), Box: X[108-118] Y[93-106], Area: 154 cells"
13,2,Floor_2_Zone_13,89,112.93,88.54,107,118,85,92,"Centroid: (112.93, 88.54), Box: X[107-118] Y[85-92], Area: 89 cells"
14,2,Floor_2_Zone_14,171,113.33,76.75,107,118,68,84,"Centroid: (113.33, 76.75), Box: X[107-118] Y[68-84], Area: 171 cells"
15,0,Floor_0_Zone_15,144,105.6,116.78,100,116,112,125,"Centroid: (105.60, 116.78), Box: X[100-116] Y[112-125], Area: 144 cells"
16,0,Floor_0_Zone_16,194,113.41,123.73,105,118,112,133,"Centroid: (113.41, 123.73), Box: X[105-118] Y[112-133], Area: 194 cells"
17,0,Floor_0_Zone_17,274,109.87,143.1,100,118,134,150,"Centroid: (109.87, 143.10), Box: X[100-118] Y[134-150], Area: 274 cells"
18,0,Floor_0_Zone_18,129,104.32,132.1,100,112,125,140,"Centroid: (104.32, 132.10), Box: X[100-112] Y[125-140], Area: 129 cells"
19,1,Floor_1_Zone_19,127,103.76,118.67,100,109,112,126,"Centroid: (103.76, 118.67), Box: X[100-109] Y[112-126], Area: 127 cells"
20,1,Floor_1_Zone_20,70,103.9,130.46,100,109,127,134,"Centroid: (103.90, 130.46), Box: X[100-109] Y[127-134], Area: 70 cells"
21,1,Floor_1_Zone_21,128,103.5,142.5,100,107,135,150,"Centroid: (103.50, 142.50), Box: X[100-107] Y[135-150], Area: 128 cells"
22,1,Floor_1_Zone_22,227,113.08,140.16,108,118,130,150,"Centroid: (113.08, 140.16), Box: X[108-118] Y[130-150], Area: 227 cells"
23,1,Floor_1_Zone_23,189,113.23,120.69,107,118,112,129,"Centroid: (113.23, 120.69), Box: X[107-118] Y[112-129], Area: 189 cells"
24,2,Floor_2_Zone_24,116,104.04,117.51,100,110,112,124,"Centroid: (104.04, 117.51), Box: X[100-110] Y[112-124], Area: 116 cells"
25,2,Floor_2_Zone_25,79,103.92,129.1,100,109,125,133,"Centroid: (103.92, 129.10), Box: X[100-109] Y[125-133], Area: 79 cells"
26,2,Floor_2_Zone_26,136,103.5,142.0,100,107,134,150,"Centroid: (103.50, 142.00), Box: X[100-107] Y[134-150], Area: 136 cells"
27,2,Floor_2_Zone_27,217,113.06,140.63,108,118,131,150,"Centroid: (113.06, 140.63), Box: X[108-118] Y[131-150], Area: 217 cells"
28,2,Floor_2_Zone_28,193,113.36,121.31,107,118,112,130,"Centroid: (113.36, 121.31), Box: X[107-118] Y[112-130], Area: 193 cells"
29,0,Floor_0_Zone_29,156,104.92,161.93,100,114,156,172,"Centroid: (104.92, 161.93), Box: X[100-114] Y[156-172], Area: 156 cells"
30,0,Floor_0_Zone_30,203,115.32,171.38,112,118,156,190,"Centroid: (115.32, 171.38), Box: X[112-118] Y[156-190], Area: 203 cells"
31,0,Floor_0_Zone_31,291,106.99,185.77,100,118,173,194,"Centroid: (106.99, 185.77), Box: X[100-118] Y[173-194], Area: 291 cells"
32,0,Floor_0_Zone_32,91,108.34,171.04,103,111,162,179,"Centroid: (108.34, 171.04), Box: X[103-111] Y[162-179], Area: 91 cells"
33,1,Floor_1_Zone_33,127,104.13,161.94,100,110,156,169,"Centroid: (104.13, 161.94), Box: X[100-110] Y[156-169], Area: 127 cells"
34,1,Floor_1_Zone_34,64,103.5,173.5,100,107,170,177,"Centroid: (103.50, 173.50), Box: X[100-107] Y[170-177], Area: 64 cells"
35,1,Floor_1_Zone_35,136,103.5,186.0,100,107,178,194,"Centroid: (103.50, 186.00), Box: X[100-107] Y[178-194], Area: 136 cells"
36,1,Floor_1_Zone_36,176,113.0,186.5,108,118,179,194,"Centroid: (113.00, 186.50), Box: X[108-118] Y[179-194], Area: 176 cells"
37,1,Floor_1_Zone_37,77,113.0,175.0,108,118,172,178,"Centroid: (113.00, 175.00), Box: X[108-118] Y[172-178], Area: 77 cells"
38,1,Floor_1_Zone_38,161,113.39,164.03,107,118,156,171,"Centroid: (113.39, 164.03), Box: X[107-118] Y[156-171], Area: 161 cells"
39,2,Floor_2_Zone_39,112,103.88,161.52,100,109,156,168,"Centroid: (103.88, 161.52), Box: X[100-109] Y[156-168], Area: 112 cells"
40,2,Floor_2_Zone_40,89,104.0,173.61,100,109,169,178,"Centroid: (104.00, 173.61), Box: X[100-109] Y[169-178], Area: 89 cells"
41,2,Floor_2_Zone_41,128,103.5,186.5,100,107,179,194,"Centroid: (103.50, 186.50), Box: X[100-107] Y[179-194], Area: 128 cells"
42,2,Floor_2_Zone_42,225,113.12,184.24,108,118,174,194,"Centroid: (113.12, 184.24), Box: X[108-118] Y[174-194], Area: 225 cells"
43,2,Floor_2_Zone_43,187,113.25,164.75,107,118,156,173,"Centroid: (113.25, 164.75), Box: X[107-118] Y[156-173], Area: 187 cells"
44,0,Floor_0_Zone_44,144,110.35,217.15,102,118,209,225,"Centroid: (110.35, 217.15), Box: X[102-118] Y[209-225], Area: 144 cells"
45,0,Floor_0_Zone_45,261,107.91,206.64,100,118,200,217,"Centroid: (107.91, 206.64), Box: X[100-118] Y[200-217], Area: 261 cells"
46,0,Floor_0_Zone_46,96,102.16,227.66,100,107,218,238,"Centroid: (102.16, 227.66), Box: X[100-107] Y[218-238], Area: 96 cells"
47,0,Floor_0_Zone_47,240,112.12,230.09,102,118,216,238,"Centroid: (112.12, 230.09), Box: X[102-118] Y[216-238], Area: 240 cells"
