AP_ID,Floor,Region,Min_X,Max_X,Min_Y,Max_Y,Centroid_X,Centroid_Y,Area_Cells
1,0,Zone_AP_1,100,118,68,95,110.77,78.12,365
2,0,Zone_AP_2,100,114,77,94,104.85,87.21,126
3,0,Zone_AP_3,100,118,92,106,108.5,99.86,250
4,1,Zone_AP_4,100,109,68,80,103.88,73.52,112
5,1,Zone_AP_5,100,108,81,91,103.62,85.98,90
6,1,Zone_AP_6,100,111,92,106,104.52,99.56,148
7,1,Zone_AP_7,107,118,68,84,113.18,76.37,179
8,1,Zone_AP_8,107,118,85,106,113.58,94.76,212
9,2,Zone_AP_9,100,111,68,80,104.34,73.34,122
10,2,Zone_AP_10,100,107,81,92,103.39,86.55,93
11,2,Zone_AP_11,100,107,93,106,103.5,99.5,112
12,2,Zone_AP_12,108,118,93,106,113.0,99.5,154
13,2,Zone_AP_13,107,118,85,92,112.93,88.54,89
14,2,Zone_AP_14,107,118,68,84,113.33,76.75,171
15,0,Zone_AP_15,100,116,112,125,105.6,116.78,144
16,0,Zone_AP_16,105,118,112,133,113.41,123.73,194
17,0,Zone_AP_17,100,118,134,150,109.87,143.1,274
18,0,Zone_AP_18,100,112,125,140,104.32,132.1,129
19,1,Zone_AP_19,100,109,112,126,103.76,118.67,127
20,1,Zone_AP_20,100,109,127,134,103.9,130.46,70
21,1,Zone_AP_21,100,107,135,150,103.5,142.5,128
22,1,Zone_AP_22,108,118,130,150,113.08,140.16,227
23,1,Zone_AP_23,107,118,112,129,113.23,120.69,189
24,2,Zone_AP_24,100,110,112,124,104.04,117.51,116
25,2,Zone_AP_25,100,109,125,133,103.92,129.1,79
26,2,Zone_AP_26,100,107,134,150,103.5,142.0,136
27,2,Zone_AP_27,108,118,131,150,113.06,140.63,217
28,2,Zone_AP_28,107,118,112,130,113.36,121.31,193
29,0,Zone_AP_29,100,114,156,172,104.92,161.93,156
30,0,Zone_AP_30,112,118,156,190,115.32,171.38,203
31,0,Zone_AP_31,100,118,173,194,106.99,185.77,291
32,0,Zone_AP_32,103,111,162,179,108.34,171.04,91
33,1,Zone_AP_33,100,110,156,169,104.13,161.94,127
34,1,Zone_AP_34,100,107,170,177,103.5,173.5,64
35,1,Zone_AP_35,100,107,178,194,103.5,186.0,136
36,1,Zone_AP_36,108,118,179,194,113.0,186.5,176
37,1,Zone_AP_37,108,118,172,178,113.0,175.0,77
38,1,Zone_AP_38,107,118,156,171,113.39,164.03,161
39,2,Zone_AP_39,100,109,156,168,103.88,161.52,112
40,2,Zone_AP_40,100,109,169,178,104.0,173.61,89
41,2,Zone_AP_41,100,107,179,194,103.5,186.5,128
42,2,Zone_AP_42,108,118,174,194,113.12,184.24,225
43,2,Zone_AP_43,107,118,156,173,113.25,164.75,187
44,0,Zone_AP_44,102,118,209,225,110.35,217.15,144
45,0,Zone_AP_45,100,118,200,217,107.91,206.64,261
46,0,Zone_AP_46,100,107,218,238,102.16,227.66,96
47,0,Zone_AP_47,102,118,216,238,112.12,230.09,240
48,1,Zone_AP_48,100,111,200,211,104.81,205.14,126
49,1,Zone_AP_49,100,110,212,221,104.63,216.66,102
50,1,Zone_AP_50,100,109,222,238,104.06,229.64,154
51,1,Zone_AP_51,108,118,219,238,113.61,229.01,194
52,1,Zone_AP_52,109,118,200,218,114.1,209.34,165
53,2,Zone_AP_53,100,111,200,212,104.87,205.61,138
54,2,Zone_AP_54,100,109,213,221,104.24,216.98,85
55,2,Zone_AP_55,100,109,222,238,104.5,230.0,170
56,2,Zone_AP_56,110,118,222,238,114.0,230.0,153
57,2,Zone_AP_57,109,118,216,221,113.74,218.58,57
58,2,Zone_AP_58,109,118,200,215,114.11,208.07,138
59,0,Zone_AP_59,100,118,244,254,109.0,249.0,209
60,0,Zone_AP_60,100,118,255,263,109.0,259.0,171
61,0,Zone_AP_61,100,118,264,272,109.0,268.0,171
62,0,Zone_AP_62,100,118,273,282,109.0,277.5,190
63,1,Zone_AP_63,100,108,244,257,103.63,250.2,115
64,1,Zone_AP_64,100,107,258,267,103.5,262.5,80
65,1,Zone_AP_65,100,110,268,282,104.1,275.49,136
66,1,Zone_AP_66,107,118,266,282,113.42,273.52,171
67,1,Zone_AP_67,108,118,258,265,113.0,261.5,88
68,1,Zone_AP_68,107,118,244,257,113.09,250.73,151
69,2,Zone_AP_69,100,112,244,255,104.84,249.06,126
70,2,Zone_AP_70,100,109,256,266,104.16,261.03,102
71,2,Zone_AP_71,100,109,267,282,104.38,274.65,156
72,2,Zone_AP_72,109,118,267,282,113.86,274.34,148
73,2,Zone_AP_73,109,118,259,266,113.74,262.61,76
74,2,Zone_AP_74,108,118,244,258,113.95,251.66,133
75,0,Zone_AP_75,100,118,288,298,109.0,293.0,209
76,0,Zone_AP_76,100,118,299,307,109.0,303.0,171
77,0,Zone_AP_77,100,118,308,326,109.0,317.0,361
78,1,Zone_AP_78,100,108,288,301,103.62,294.36,115
79,1,Zone_AP_79,100,107,302,309,103.5,305.5,64
80,1,Zone_AP_80,100,107,310,326,103.5,318.0,136
81,1,Zone_AP_81,108,118,310,326,113.0,318.0,187
82,1,Zone_AP_82,108,118,302,309,113.0,305.5,88
83,1,Zone_AP_83,108,118,288,301,113.1,294.61,151
84,2,Zone_AP_84,100,108,288,301,103.7,294.24,117
85,2,Zone_AP_85,100,107,302,310,103.5,306.0,72
86,2,Zone_AP_86,100,107,311,326,103.5,318.5,128
87,2,Zone_AP_87,108,118,310,326,113.0,318.0,187
88,2,Zone_AP_88,108,118,302,309,113.0,305.5,88
89,2,Zone_AP_89,107,118,288,301,113.16,294.7,149
90,0,Zone_AP_90,71,85,74,89,79.5,82.17,180
91,0,Zone_AP_91,67,82,62,79,72.3,70.98,186
92,0,Zone_AP_92,72,85,51,73,80.54,62.32,186
