AP_ID,Floor,Region,Spatial_Info
1,0,Zone_AP_1,"Centroid: (110.77, 78.12), Box: X[100-118] Y[68-95], Area: 365 cells, Contiguous"
2,0,Zone_AP_2,"Centroid: (104.85, 87.21), Box: X[100-114] Y[77-94], Area: 126 cells, Contiguous"
3,0,Zone_AP_3,"Centroid: (108.50, 99.86), Box: X[100-118] Y[92-106], Area: 250 cells, Contiguous"
4,1,Zone_AP_4,"Centroid: (103.88, 73.52), Box: X[100-109] Y[68-80], Area: 112 cells, Contiguous"
5,1,Zone_AP_5,"Centroid: (103.62, 85.98), Box: X[100-108] Y[81-91], Area: 90 cells, Contiguous"
6,1,Zone_AP_6,"Centroid: (104.52, 99.56), Box: X[100-111] Y[92-106], Area: 148 cells, Contiguous"
7,1,Zone_AP_7,"Centroid: (113.18, 76.37), Box: X[107-118] Y[68-84], Area: 179 cells, Contiguous"
8,1,Zone_AP_8,"Centroid: (113.58, 94.76), Box: X[107-118] Y[85-106], Area: 212 cells, Contiguous"
9,2,Zone_AP_9,"Centroid: (104.34, 73.34), Box: X[100-111] Y[68-80], Area: 122 cells, Contiguous"
10,2,Zone_AP_10,"Centroid: (103.39, 86.55), Box: X[100-107] Y[81-92], Area: 93 cells, Contiguous"
11,2,Zone_AP_11,"Centroid: (103.50, 99.50), Box: X[100-107] Y[93-106], Area: 112 cells, Contiguous"
12,2,Zone_AP_12,"Centroid: (113.00, 99.50), Box: X[108-118] Y[93-106], Area: 154 cells, Contiguous"
13,2,Zone_AP_13,"Centroid: (112.93, 88.54), Box: X[107-118] Y[85-92], Area: 89 cells, Contiguous"
14,2,Zone_AP_14,"Centroid: (113.33, 76.75), Box: X[107-118] Y[68-84], Area: 171 cells, Contiguous"
15,0,Zone_AP_15,"Centroid: (105.60, 116.78), Box: X[100-116] Y[112-125], Area: 144 cells, Contiguous"
16,0,Zone_AP_16,"Centroid: (113.41, 123.73), Box: X[105-118] Y[112-133], Area: 194 cells, Contiguous"
