ap_id,timestamp,intervened_state,pre_latency_ms,during_latency_ms,post_latency_ms,pre_loss_pct,during_loss_pct,post_loss_pct,pre_throughput_mbps,during_throughput_mbps,post_throughput_mbps
107,2023-06-08 11:07:05,HIGH,1.11,5.01,4.98,0.0,0.5,0.5,32.78,39.3,39.04
107,2023-06-08 12:34:50,HIGH,1.15,5.02,5.0,0.0,0.5,0.5,36.41,39.48,39.12
107,2023-06-09 13:09:52,HIGH,1.02,5.05,4.95,0.0,0.5,0.5,25.34,38.93,39.57
107,2023-06-12 10:35:40,HIGH,1.31,4.97,4.99,0.0,0.5,0.5,44.42,39.39,39.39
107,2023-06-13 11:27:46,HIGH,1.27,5.03,1.3,0.0,0.5,0.0,40.5,38.97,21.42
107,2023-06-14 09:39:45,HIGH,1.01,5.05,5.01,0.0,0.5,0.5,25.27,39.31,39.14
107,2023-06-15 09:54:35,HIGH,1.1,5.03,4.97,0.0,0.5,0.5,33.02,39.58,39.15
107,2023-06-16 14:58:40,HIGH,1.17,4.98,4.98,0.0,0.5,0.5,36.82,39.01,39.54
125,2023-06-08 11:07:05,HIGH,1.23,4.97,5.02,0.0,0.5,0.5,40.06,38.87,38.82
125,2023-06-08 15:39:13,HIGH,1.25,5.02,1.75,0.0,0.5,0.0,40.31,39.35,33.11
125,2023-06-09 10:04:59,HIGH,1.23,5.03,5.01,0.0,0.5,0.5,40.15,39.19,39.51
125,2023-06-12 10:08:17,HIGH,1.24,5.03,5.04,0.0,0.5,0.5,40.8,39.16,39.33
125,2023-06-13 10:03:29,HIGH,1.12,4.97,10.95,0.0,0.5,2.0,32.66,38.9,14.7
125,2023-06-14 10:06:43,HIGH,1.13,5.03,4.99,0.0,0.5,0.5,32.79,39.11,39.53
125,2023-06-14 12:59:44,CRITICAL,1.08,11.0,11.03,0.0,2.0,2.0,32.74,14.75,14.75
125,2023-06-15 10:23:44,HIGH,1.16,5.04,5.0,0.0,0.5,0.5,32.9,39.01,39.32
125,2023-06-15 14:34:03,HIGH,1.44,5.03,1.56,0.0,0.5,0.0,48.4,38.98,28.86
125,2023-06-16 09:36:09,HIGH,1.21,4.99,5.0,0.0,0.5,0.5,40.33,39.15,39.27
162,2023-06-12 08:53:21,HIGH,0.69,4.97,4.99,0.0,0.5,0.5,13.88,39.3,39.24
162,2023-06-13 08:57:43,HIGH,0.73,5.02,10.98,0.0,0.5,2.0,17.67,39.51,14.81
162,2023-06-14 16:44:13,CRITICAL,0.64,10.95,10.96,0.0,2.0,2.0,10.05,14.77,14.58
162,2023-06-15 09:28:17,CRITICAL,1.21,11.02,11.05,0.0,2.0,2.0,40.18,14.78,14.56
