Regime,Scenario,Snapshot_Count,Avg_Throughput_Mbps,Max_Throughput_Mbps,Avg_Latency_ms,P95_Latency_ms,Max_Latency_ms,Avg_Jitter_ms,Avg_Loss_pct,Max_Loss_pct
NORMAL_LOW (u < 5),BASELINE_NO_QOS,2670,14.41,25.43,0.56,0.64,0.7,0.13,0.0,0.0
NORMAL_LOW (u < 5),PREDICTIVE_QOS,2670,14.4,25.45,0.74,0.83,11.04,0.21,0.0,2.0
NORMAL_LOW (u < 5),ORACLE_QOS,2670,14.4,25.44,0.73,0.84,11.01,0.21,0.0,2.0
MODERATE (5 <= u < 10),BASELINE_NO_QOS,225,34.35,44.63,0.72,0.81,0.85,0.17,0.0,0.0
MODERATE (5 <= u < 10),PREDICTIVE_QOS,225,33.29,44.57,1.85,5.04,11.03,0.46,0.12,2.0
MODERATE (5 <= u < 10),ORACLE_QOS,225,33.0,44.55,2.11,5.05,11.03,0.52,0.15,2.0
HIGH (10 <= u < 20),BASELINE_NO_QOS,101,61.04,82.5,0.94,1.07,1.12,0.22,0.0,0.0
HIGH (10 <= u < 20),PREDICTIVE_QOS,101,32.09,51.7,6.65,11.03,11.05,1.43,0.94,2.0
HIGH (10 <= u < 20),ORACLE_QOS,101,26.11,39.57,8.21,11.04,11.05,1.8,1.3,2.0
CRITICAL (u >= 20),BASELINE_NO_QOS,84,93.26,97.66,19.8,34.96,65.98,4.69,7.57,15.0
CRITICAL (u >= 20),PREDICTIVE_QOS,84,16.75,39.35,10.5,11.04,11.05,2.38,1.88,2.0
CRITICAL (u >= 20),ORACLE_QOS,84,14.71,14.84,11.0,11.04,11.05,2.5,2.0,2.0
